Symbol,Name,Sector,Industry Name,Ind Group Rank,Exchange,Current Price,Price % Chg,Price $ Chg,Volume (1000s),Vol % Chg vs 50-Day,EPS Rating,RS Rating,Ind Group RS,SMR Rating,A/D Rating,Comp Rating,,,,,,,,,,,,,,,
AAIC,Arlington Asset Inv Corp,FINANCE,Finance-Investment Mgmt,82,NYSE,3.42,-0.6,-0.02,22,-80.3,8,32,B-,E,D-,31,,,,,,,,,,,,,,,
AB,Alliancebernstein Hld Lp,FINANCE,Finance-Investment Mgmt,82,NYSE,47.56,-1.9,-0.92,289,-7.2,86,72,B-,-,D-,72,,,,,,,,,,,,,,,
AC,Associated Cap Grp Cl A,FINANCE,Finance-Investment Mgmt,82,NYSE,42.23,-1.3,-0.55,1,-47.7,15,92,B-,D,D+,60,,,,,,,,,,,,,,,
AINV,Apollo Investment Corp,FINANCE,Finance-Investment Mgmt,82,NASDAQ,13.3,0.6,0.08,201,-40.8,39,55,B-,C,E,49,,,,,,,,,,,,,,,
AMG,Affiliated Managers Grp,FINANCE,Finance-Investment Mgmt,82,NYSE,148.7,0.6,0.9,152,-7,78,42,B-,A,E,71,,,,,,,,,,,,,,,
AMK,Assetmark Finl Hldgs Inc,FINANCE,Finance-Investment Mgmt,82,NYSE,24,-0.7,-0.17,23,-52,97,55,B-,B,B-,89,,,,,,,,,,,,,,,
AMTD,Amtd Intl Cl A Ads,FINANCE,Finance-Investment Mgmt,82,NYSE,4.05,-0.9,-0.04,36,-11.3,68,26,B-,C,B,57,,,,,,,,,,,,,,,
APAM,Artisan Ptns Asset Mgmt,FINANCE,Finance-Investment Mgmt,82,NYSE,41.94,-3.3,-1.43,1001,160,92,29,B-,A,E,75,,,,,,,,,,,,,,,
APO,Apollo Global Mgmt Cl A,FINANCE,Finance-Investment Mgmt,82,NYSE,70.98,0.5,0.33,1650,-41.5,37,90,B-,B,D-,74,,,,,,,,,,,,,,,
ARCC,Ares Capital Corp,FINANCE,Finance-Investment Mgmt,82,NASDAQ,22.21,0.3,0.07,2018,-30.8,68,88,B-,A,C,85,,,,,,,,,,,,,,,
ARES,Ares Management Crp Cl A,FINANCE,Finance-Investment Mgmt,82,NYSE,80.46,3.7,2.85,1560,266.3,82,93,B-,A,C,97,,,,,,,,,,,,,,,
ATCO,Atlas Corp,FINANCE,Finance-Investment Mgmt,82,NYSE,15.43,3.8,0.57,719,106,39,88,B-,B,C+,80,,,,,,,,,,,,,,,
BAM,Brookfield Asset Mgmt A,FINANCE,Finance-Investment Mgmt,82,NYSE,55.93,0.7,0.37,940,-20.2,69,86,B-,D,E,73,,,,,,,,,,,,,,,
BANX,Stonecastle Financial Cp,FINANCE,Finance-Investment Mgmt,82,NASDAQ,21.99,0,0.01,6,-39.5,50,75,B-,B,D+,66,,,,,,,,,,,,,,,
BBDC,Barings BDC Inc,FINANCE,Finance-Investment Mgmt,82,NYSE,11.17,1.9,0.2,210,47.2,61,79,B-,A,E,84,,,,,,,,,,,,,,,
BEN,Franklin Resources Inc,FINANCE,Finance-Investment Mgmt,82,NYSE,32.14,0,-0.01,2956,61.3,81,65,B-,A,C+,82,,,,,,,,,,,,,,,
BIP,Brookfield Infrast Ptnrs,FINANCE,Finance-Investment Mgmt,82,NYSE,60.01,1.5,0.9,159,-41.4,69,83,B-,B,C-,82,,,,,,,,,,,,,,,
BIPC,Brookfield Infra Corp,FINANCE,Finance-Investment Mgmt,82,NYSE,67.73,0.9,0.62,293,23.5,59,75,B-,C,A,83,,,,,,,,,,,,,,,
BKCC,Blackrock Cap Inv Corp,FINANCE,Finance-Investment Mgmt,82,NASDAQ,4.18,0,0,167,-47.6,26,83,B-,C,D,58,,,,,,,,,,,,,,,
BLK,Blackrock Inc,FINANCE,Finance-Investment Mgmt,82,NYSE,821.66,-0.5,-3.75,835,99.9,79,48,B-,A,E,70,,,,,,,,,,,,,,,
BSIG,BrightSphere Inv Grp Inc,FINANCE,Finance-Investment Mgmt,82,NYSE,21.72,-1.6,-0.35,392,-63.1,55,31,B-,C,B-,51,,,,,,,,,,,,,,,
BUR,Burford Capital Limited,FINANCE,Finance-Investment Mgmt,82,NYSE,9.67,0,0,332,150.9,8,32,B-,D,C+,29,,,,,,,,,,,,,,,
BVH,Bluegreen Vactins HdgCrp,FINANCE,Finance-Investment Mgmt,82,NYSE,29.33,-2.2,-0.67,26,-62,69,98,B-,C,B-,88,,,,,,,,,,,,,,,
BX,Blackstone Inc,FINANCE,Finance-Investment Mgmt,82,NYSE,137.74,2.1,2.79,3885,11.4,85,96,B-,A,B-,95,,,,,,,,,,,,,,,
CCAP,Crescent Capital Bdc Inc,FINANCE,Finance-Investment Mgmt,82,NASDAQ,18.48,-0.1,-0.02,37,-62.2,54,69,B-,A,B-,78,,,,,,,,,,,,,,,
CG,The Carlyle Group Inc,FINANCE,Finance-Investment Mgmt,82,NASDAQ,53.97,2.4,1.27,2656,103.5,72,91,B-,A,B,97,,,,,,,,,,,,,,,
CIXX,C I Financial Corp,FINANCE,Finance-Investment Mgmt,82,NYSE,18.91,0.2,0.04,31,-51,85,77,B-,A,E,80,,,,,,,,,,,,,,,
CNNE,Cannae Holdings Inc,FINANCE,Finance-Investment Mgmt,82,NYSE,28.48,-6,-1.83,606,38.9,52,27,B-,B,B-,58,,,,,,,,,,,,,,,
CNS,Cohen & Steers Inc,FINANCE,Finance-Investment Mgmt,82,NYSE,81.68,-2.5,-2.13,126,89.5,92,75,B-,A,D-,88,,,,,,,,,,,,,,,
CODI,Compass Diversified,FINANCE,Finance-Investment Mgmt,82,NYSE,27.04,2.3,0.62,317,0.5,8,72,B-,C,D,54,,,,,,,,,,,,,,,
COHN,Cohen & Company Inc,FINANCE,Finance-Investment Mgmt,82,AMEX,14.95,-4.4,-0.68,11,-7.6,33,22,B-,B,B-,36,,,,,,,,,,,,,,,
CSWC,Capital Southwest Corp,FINANCE,Finance-Investment Mgmt,82,NASDAQ,26.25,0.1,0.03,134,11.8,79,86,B-,A,D+,86,,,,,,,,,,,,,,,
DHIL,Diamond Hill Invt Group,FINANCE,Finance-Investment Mgmt,82,NASDAQ,183.74,-0.7,-1.25,1,-84,79,86,B-,A,D,89,,,,,,,,,,,,,,,
EFC,Ellington Financial Inc,FINANCE,Finance-Investment Mgmt,82,NYSE,17.64,-0.4,-0.07,477,-18.2,83,72,B-,B,D-,79,,,,,,,,,,,,,,,
EQH,Equitable Holdings Inc,FINANCE,Finance-Investment Mgmt,82,NYSE,34.8,0.5,0.16,2750,36.6,95,86,B-,C,D-,88,,,,,,,,,,,,,,,
EQS,Equus Total Return Inc,FINANCE,Finance-Investment Mgmt,82,NYSE,2.68,0,0,3,-74.8,20,94,B-,E,B,67,,,,,,,,,,,,,,,
