Ind Group Rank,Symbol,Name,Ind Group Rank,Sector,Industry Name,Current Price,Price % Chg,Price $ Chg,Volume (1000s),Vol % Chg vs 50-Day,EPS Rating,RS Rating,Ind Group RS,SMR Rating,A/D Rating,Comp Rating
2,BATL,Battalion Oil Corp,2,ENERGY,Oil&Gas-U S Expl&Prod,20.9,15.1,2.8,105,808.8,39,99,A+,C,A+,96
2,REPX,Riley Explr Permian,2,ENERGY,Oil&Gas-U S Expl&Prod,25.32,1.1,0.29,21,-20.9,71,45,A+,B,B,81
3,CNX,CNX Resources Corp,3,ENERGY,Oil&Gas-U S Expl&Prod,15.44,-1.6,-0.23,2559,14.4,69,91,A+,A,B,96
4,GPRK,Geopark Ltd,4,ENERGY,Oil&Gas-Intl Expl&Prod,14.24,0.4,0.05,155,-21.9,60,77,A+,E,A-,86
4,HES,Hess Corp,4,ENERGY,Oil&Gas-Intl Expl&Prod,92.17,-1,-0.93,2049,15.2,69,95,A+,A,B-,99
5,FMC,F M C Corp,5,AGRICULTRE,Chemicals-Agricultural,111,-1.5,-1.65,472,-0.4,84,79,A+,B,B-,94
6,EQT,E Q T Corp,6,ENERGY,Oil&Gas-Integrated,21.47,-3.1,-0.69,5176,-4.3,69,90,A+,D,C,93
6,SNP,China Petrolm & Chem Adr,6,ENERGY,Oil&Gas-Integrated,52.64,0.2,0.12,59,-40.5,39,87,A+,C,B+,90
6,SU,Suncor Energy Inc,6,ENERGY,Oil&Gas-Integrated,29.33,-3.6,-1.08,10628,72.7,69,97,A+,C,B+,96
8,PTEN,Patterson-Uti Energy Inc,8,ENERGY,Oil&Gas-Drilling,10.47,-0.4,-0.03,1468,-25.6,30,96,A+,E,A,85
9,KEX,Kirby Corp,9,TRANSPRT,Transportation-Ship,64.83,0.4,0.32,174,-42.2,21,86,A+,D,B,82
10,CEQP,Crestwood Equity Ptnr LP,10,ENERGY,Oil&Gas-Refining/Mktg,28.14,-2.3,-0.63,860,128,4,79,A+,C,C+,70
10,CVI,C V R Energy Inc,10,ENERGY,Oil&Gas-Refining/Mktg,20.45,-2.6,-0.52,240,-33.6,42,94,A+,C,B-,85
10,GLP,Global Partners Lp,10,ENERGY,Oil&Gas-Refining/Mktg,27.49,-0.5,-0.13,83,-2.4,44,90,A+,B,A-,92
10,HFC,Hollyfrontier Corp,10,ENERGY,Oil&Gas-Refining/Mktg,36.16,-1.9,-0.71,829,-31.1,69,91,A+,C,B,94
10,PBF,P B F Energy Inc Cl A,10,ENERGY,Oil&Gas-Refining/Mktg,17.65,-0.5,-0.1,1606,-24.7,57,98,A+,D,B-,91
10,PSX,Phillips 66,10,ENERGY,Oil&Gas-Refining/Mktg,87.35,-0.5,-0.35,1756,-28.2,69,90,A+,B,B-,97
10,SSL,Sasol Ltd Adr,10,ENERGY,Oil&Gas-Refining/Mktg,22.33,-2.5,-0.57,264,-31.3,52,98,A+,C,A-,98
10,VLO,Valero Energy Corp,10,ENERGY,Oil&Gas-Refining/Mktg,85.32,-1.5,-1.29,2281,-16.2,69,94,A+,C,B,99
11,NEX,NexTier Oilfield Sol Inc,11,ENERGY,Oil&Gas-Field Services,6.27,-2.6,-0.18,1551,-30.3,45,99,A+,E,A+,93
11,PUMP,Propetro Holding Corp,11,ENERGY,Oil&Gas-Field Services,10.9,-1.6,-0.17,504,-10.8,49,95,A+,D,B-,85
11,SLB,Schlumberger Ltd,11,ENERGY,Oil&Gas-Field Services,38.69,-1.5,-0.57,9160,-7,74,96,A+,C,B,96
11,TDW,Tidewater Inc,11,ENERGY,Oil&Gas-Field Services,14.19,-0.8,-0.09,200,37,24,93,A+,E,A-,76
12,BCC,Boise Cascade Company,12,BUILDING,Bldg-Wood Prds,80.7,-1.5,-1.15,343,55.3,86,97,A+,B,B+,99
12,LPX,Louisiana Pacific Corp,12,BUILDING,Bldg-Wood Prds,69.02,-1.7,-1.19,586,-26.6,98,93,A+,A,B-,99
14,BPMP,BP Midstream Partners LP,14,ENERGY,Oil&Gas-Transprt/Pipelne,18.21,0.6,0.1,199,-67.2,65,97,A+,B,A-,91
14,EPD,Enterprise Products Ptnr,14,ENERGY,Oil&Gas-Transprt/Pipelne,23.93,0,-0.01,4548,-26.4,68,84,A+,A,B-,93
14,KMI,Kinder Morgan Inc,14,ENERGY,Oil&Gas-Transprt/Pipelne,17.31,-0.6,-0.11,11025,-7.3,68,81,A+,A,D+,93
14,LPG,Dorian LPG Ltd,14,ENERGY,Oil&Gas-Transprt/Pipelne,12.29,1,0.12,342,13.5,42,74,A+,C,D+,78
14,MMP,Magellan Midstream Ptnrs,14,ENERGY,Oil&Gas-Transprt/Pipelne,49.96,0.3,0.14,1017,18.9,70,77,A+,A,B,92
