Symbol,Name,Ind Group Rank,Sector,Industry Name,Current Price,Price % Chg,Price $ Chg,Volume (1000s),Vol % Chg vs 50-Day,EPS Rating,RS Rating,Ind Group RS,SMR Rating,A/D Rating,Comp Rating
CNQ,Canadian Natural Res Ltd,1,ENERGY,Oil&Gas-Cdn Expl&Prod,52.78,-0.1,-0.05,2696,-9.4,74,98,A+,C,C+,97
CPG,Crescent Point Energy,1,ENERGY,Oil&Gas-Cdn Expl&Prod,6.68,-0.4,-0.03,5661,-14.2,90,99,A+,B,B,99
ERF,Enerplus Corporation,1,ENERGY,Oil&Gas-Cdn Expl&Prod,12.11,-0.7,-0.09,2969,16.3,62,99,A+,B,B,99
VET,Vermilion Energy Inc,1,ENERGY,Oil&Gas-Cdn Expl&Prod,16.09,-0.4,-0.06,1568,-28.3,23,99,A+,E,A-,85
AR,Antero Resources Corp,2,ENERGY,Oil&Gas-U S Expl&Prod,20.92,-4.5,-1.02,7814,24.6,69,99,A+,D,B+,97
BRY,Berry Corporation,2,ENERGY,Oil&Gas-U S Expl&Prod,8.9,-2.1,-0.19,246,-10,23,98,A+,B,D,77
CDEV,Centennial Res Dvlp Cl A,2,ENERGY,Oil&Gas-U S Expl&Prod,8.17,-0.1,-0.01,5801,-13.2,38,99,A+,D,B,87
CHK,Chesapeake Energy Corp,2,ENERGY,Oil&Gas-U S Expl&Prod,67.71,-2.6,-1.79,1122,-0.8,11,95,A+,E,B-,69
CLR,Continental Res Inc,2,ENERGY,Oil&Gas-U S Expl&Prod,55.36,0.5,0.28,1453,13,69,99,A+,C,B,97
CRC,California Resources,2,ENERGY,Oil&Gas-U S Expl&Prod,43.89,-3,-1.34,416,-28.3,69,98,A+,E,B+,94
DMLP,Dorchester Minerals Lp,2,ENERGY,Oil&Gas-U S Expl&Prod,23.89,1.2,0.29,69,8.6,82,98,A+,A,B+,97
DVN,Devon Energy Corp,2,ENERGY,Oil&Gas-U S Expl&Prod,53.1,-0.3,-0.14,8257,-20.6,69,99,A+,B,B+,98
EOG,E O G Resources Inc,2,ENERGY,Oil&Gas-U S Expl&Prod,111.91,-0.9,-1.01,2905,-18,95,98,A+,B,B+,99
EPM,Evolution Petroleum Corp,2,ENERGY,Oil&Gas-U S Expl&Prod,5.95,-0.2,-0.01,93,-33.8,69,97,A+,B,B-,99
EPSN,Epsilon Energy Ltd,2,ENERGY,Oil&Gas-U S Expl&Prod,5.3,-8.6,-0.5,23,21.2,48,95,A+,C,B-,94
ESTE,Earthstone Energy Cl A,2,ENERGY,Oil&Gas-U S Expl&Prod,12.75,-1.8,-0.24,682,54.3,87,98,A+,A,B,99
FANG,Diamondback Energy Inc,2,ENERGY,Oil&Gas-U S Expl&Prod,129.54,-1.1,-1.43,1639,-31.6,95,98,A+,A,B,99
HPK,Highpeak Energy Inc,2,ENERGY,Oil&Gas-U S Expl&Prod,17.39,-0.1,-0.02,21,-57.4,69,97,A+,D,B+,96
KRP,Kimbell Royalty Partners,2,ENERGY,Oil&Gas-U S Expl&Prod,14.51,0.2,0.04,159,-35.6,10,95,A+,D,B-,76
MGY,Magnolia O&G Corp Cl A,2,ENERGY,Oil&Gas-U S Expl&Prod,22.82,1.5,0.34,1199,-3.5,69,99,A+,B,B-,99
MNRL,Brigham Minerals Cl A,2,ENERGY,Oil&Gas-U S Expl&Prod,22.2,-1.6,-0.37,152,-34.3,69,93,A+,D,D,89
MTDR,Matador Resources Co,2,ENERGY,Oil&Gas-U S Expl&Prod,45.7,-1.3,-0.61,1011,-20.3,95,99,A+,A,D,99
NOG,Northern Oil & Gas Inc,2,ENERGY,Oil&Gas-U S Expl&Prod,24.59,0,0.01,679,-22.1,86,98,A+,A,B,99
OAS,Oasis Petroleum Inc,2,ENERGY,Oil&Gas-U S Expl&Prod,143.04,-1.1,-1.54,159,-19.6,77,99,A+,A,B,98
PDCE,P D C Energy Inc,2,ENERGY,Oil&Gas-U S Expl&Prod,61.26,-0.5,-0.34,548,-27.8,75,99,A+,C,B-,97
PXD,Pioneer Natural Resource,2,ENERGY,Oil&Gas-U S Expl&Prod,223.09,-0.2,-0.39,1091,-38.3,97,97,A+,B,B,98
RRC,Range Resources Corp,2,ENERGY,Oil&Gas-U S Expl&Prod,20.49,-3.1,-0.66,3629,-5.2,69,98,A+,D,D-,83
SD,Sandridge Energy Inc,2,ENERGY,Oil&Gas-U S Expl&Prod,12.18,-1,-0.12,488,-24.3,74,99,A+,C,B,96
SM,S M Energy Co,2,ENERGY,Oil&Gas-U S Expl&Prod,35.12,-0.5,-0.18,1662,-20.1,69,99,A+,C,D-,93
VNOM,Viper Energy Partners Lp,2,ENERGY,Oil&Gas-U S Expl&Prod,26.97,-1.7,-0.46,480,-15.3,69,98,A+,B,A,99
WLL,Whiting Petroleum Corp,2,ENERGY,Oil&Gas-U S Expl&Prod,75.41,-3.3,-2.58,309,-14.5,69,99,A+,C,C+,97
AMR,Alpha Metallurgical Res,3,ENERGY,Energy-Coal,75.38,7,4.47,478,94.7,59,99,A+,E,B-,90
ARCH,Arch Resources Inc,3,ENERGY,Energy-Coal,105.56,-0.1,-0.08,660,104.1,69,99,A+,E,B,94
ARLP,Alliance Res Partners Lp,3,ENERGY,Energy-Coal,13.52,-1,-0.14,461,-6.6,59,99,A+,B,B-,97
HCC,Warrior Met Coal Inc,3,ENERGY,Energy-Coal,27.98,-1.2,-0.35,1101,137.7,69,97,A+,D,B,94
NRP,Natural Resource Pts Lp,3,ENERGY,Energy-Coal,38.24,2.8,0.47,96,223.7,66,99,A+,A,B+,98
APA,A P A Corp,4,ENERGY,Oil&Gas-Intl Expl&Prod,34.58,-0.6,-0.2,6481,-14.6,69,99,A+,C,B+,97
COP,Conocophillips,4,ENERGY,Oil&Gas-Intl Expl&Prod,90.9,-1.4,-1.31,11431,80.2,69,98,A+,C,B-,99
KOS,Kosmos Energy Ltd,4,ENERGY,Oil&Gas-Intl Expl&Prod,4.73,2.1,0.1,10013,12,40,99,A+,D,B-,81
MUR,Murphy Oil Corp,4,ENERGY,Oil&Gas-Intl Expl&Prod,33.1,0.8,0.26,2488,64.8,69,99,A+,B,B-,99
OVV,Ovintiv Inc,4,ENERGY,Oil&Gas-Intl Expl&Prod,40.92,0.6,0.26,2898,13.9,81,98,A+,C,C+,98
OXY,Occidental Petroleum,4,ENERGY,Oil&Gas-Intl Expl&Prod,40.05,1.1,0.44,18640,27.3,69,97,A+,D,B+,97
