Symbol,Name,Ind Group Rank,Sector,Industry Name,Current Price,Price % Chg,Price $ Chg,Volume (1000s),Vol % Chg vs 50-Day,EPS Rating,RS Rating,Ind Group RS,SMR Rating,A/D Rating,Comp Rating
MXC,Mexco Energy Corp,2,ENERGY,Oil&Gas-U S Expl&Prod,10.5,-0.2,-0.02,9,-55.8,69,90,A+,B,C,88
BTU,Peabody Energy Corp,3,ENERGY,Energy-Coal,12.22,-0.2,-0.03,5178,4.2,40,99,A+,E,B-,68
CEIX,Consol Energy Inc,3,ENERGY,Energy-Coal,23.81,-1.1,-0.26,322,-23.9,21,98,A+,D,B-,68
AVD,American Vanguard Corp,5,AGRICULTRE,Chemicals-Agricultural,14.71,-2.7,-0.41,89,-46.4,74,33,A+,C,D+,67
SMG,Scotts Miracle-Gro Co,5,AGRICULTRE,Chemicals-Agricultural,134.23,-5,-7.05,713,72,46,21,A+,B,C-,52
AM,Antero Midstream Corp,6,ENERGY,Oil&Gas-Integrated,10.22,-1.5,-0.16,3050,-12.9,77,87,A+,B,D+,87
AXR,Amrep Corp,7,MEDIA,Media-Periodicals,12.09,-0.1,-0.01,13,-34.3,69,69,A+,A,D,86
CHX,Championx Corporation,8,ENERGY,Oil&Gas-Drilling,23.14,-1.7,-0.4,986,-28.5,69,75,A+,C,B,91
CMRE,Costamare Inc,9,TRANSPRT,Transportation-Ship,13.11,-1.9,-0.26,407,-31.2,79,93,A+,A,C,99
EDRY,Eurodry Ltd,9,TRANSPRT,Transportation-Ship,20.83,-0.8,-0.17,40,17.6,69,97,A+,C,D+,87
GNK,Genco Shipping & Trading,9,TRANSPRT,Transportation-Ship,15.69,-3,-0.48,436,-32.1,69,91,A+,C,B,94
GOGL,Golden Ocean Group Ltd,9,TRANSPRT,Transportation-Ship,9.65,-3.2,-0.32,2442,-6.2,72,97,A+,C,B,96
PARR,Par Pacific Holdings Inc,10,ENERGY,Oil&Gas-Refining/Mktg,14.22,-3.1,-0.46,351,-26.6,56,48,A+,D,C-,67
SGU,Star Group LP,10,ENERGY,Oil&Gas-Refining/Mktg,10.48,-0.6,-0.06,51,-24.7,41,55,A+,B,D-,75
NOA,North American Const Grp,11,ENERGY,Oil&Gas-Field Services,14.4,-2.6,-0.38,31,-12.1,88,86,A+,A,D+,96
ALTM,Altus Midstream Cl A,14,ENERGY,Oil&Gas-Transprt/Pipelne,65.71,-0.9,-0.61,34,-49.1,68,85,A+,-,B,80
DCP,D C P Midstream Lp,14,ENERGY,Oil&Gas-Transprt/Pipelne,30.04,-3,-0.92,439,-17.5,10,91,A+,C,C-,77
DKL,Delek Logistics Prtnr Lp,14,ENERGY,Oil&Gas-Transprt/Pipelne,43.44,0.2,0.07,42,-6.3,63,80,A+,-,B+,79
PBA,Pembina Pipeline Corp,14,ENERGY,Oil&Gas-Transprt/Pipelne,32.51,-0.4,-0.14,1045,2.6,46,80,A+,C,B-,84
