"#","Symbol","Name","Sector","Ind Group Rank","Industry Name","Current Price","Price % Chg","Price $ Chg","Volume (1000s)","Vol % Chg vs 50-Day","EPS Rating","RS Rating","Ind Group RS","SMR Rating","A/D Rating","Comp Rating"
"34","DQ","Daqo New Energy Corp Ads","ENERGY","196","Energy-Solar","35.72","-5.3","-1.99","765","-51.2","95","9","E","A","C+","63"
"116","RUN","Sunrun Inc","ENERGY","196","Energy-Solar","23.04","-7","-1.74","13940","111.6","7","6","E","D","C","12"
"48","GME","Gamestop Corp","RETAIL","195","Retail-Consumer Elec","99.23","-0.8","-0.81","2645","-19.3","10","27","E","E","C+","15"
"131","TDOC","Teladoc Health Inc","SOFTWARE","193","Computer Sftwr-Medical","72.86","-5.2","-4.03","3440","-24.5","31","7","E","C","C","20"
"125","SPOT","Spotify Technology S A","SOFTWARE","191","Computer Sftwr-Edu/Media","159.76","-16.8","-32.16","13993","721.2","43","15","E","D","D-","28"
"14","BABA","Alibaba Group Hldg Ads","RETAIL","190","Retail-Internet","123.47","0.5","0.59","15027","-39.6","82","16","E","B","D-","41"
"23","CHWY","Chewy Inc Cl A","RETAIL","190","Retail-Internet","43.69","-0.6","-0.26","5957","19.4","31","11","E","-","D-","12"
"45","FTCH","Farfetch Limited","RETAIL","190","Retail-Internet","18.9","-8.8","-1.83","9048","31.5","35","6","E","D","D-","15"
"92","PDD","Pinduoduo Inc Cl A Ads","RETAIL","190","Retail-Internet","55.13","-4.6","-2.66","4928","-46.7","69","11","E","C","B","36"
"114","ROKU","Roku Inc Cl A","LEISURE","189","Leisure-Movies & Related","145.28","-7.4","-11.62","4410","-27.5","69","7","E","C","E","33"
"24","CMCSA","Comcast Corp Cl A","TELECOM","188","Telecom Svcs-Cable/Satl","49.62","-0.7","-0.37","24878","3.5","87","39","E","B","D-","60"
"36","ENSG","Ensign Group Inc","MEDICAL","186","Medical-Long-term Care","73.43","-1.2","-0.89","213","-12","86","37","E","B","B-","67"
"26","COUP","Coupa Software Inc","SOFTWARE","180","Computer Sftwr-Enterprse","122.28","-5.9","-7.65","1311","-35.9","95","10","D-","B","E","41"
"97","PLTR","Palantir TechnologiesClA","SOFTWARE","180","Computer Sftwr-Enterprse","12.45","-6.5","-0.87","46535","6.6","63","10","D-","-","E","24"
"113","RNG","RingCentral Inc Cl A","SOFTWARE","180","Computer Sftwr-Enterprse","155.74","-7.4","-12.5","1333","5.8","94","14","D-","A","D+","57"
"135","TWLO","Twilio Inc Cl A","SOFTWARE","180","Computer Sftwr-Enterprse","180.21","-8.7","-17.19","3803","40.5","9","11","D-","C","D","19"
"154","ZEN","Zendesk Inc","SOFTWARE","180","Computer Sftwr-Enterprse","94.57","-4.9","-4.85","1490","-26.4","76","24","D-","B","D+","58"
"155","ZM","Zoom Video Comm Cl A","SOFTWARE","180","Computer Sftwr-Enterprse","137.94","-6.9","-10.17","3243","-37","93","7","D-","A","D-","51"
"150","XPEL","Xpel Inc","AUTO","175","Auto/Truck-Replace Parts","61.81","1","0.63","169","-2.2","96","39","D-","A","E","61"
"132","TLRY","Tilray Brands Inc Cl 2","CONSUMER","173","Consumer Prod-Specialty","5.65","-5.5","-0.33","11507","-50.1","47","6","D-","D","D","19"
"57","ITGR","Integer Holdings Corp","MEDICAL","172","Medical-Products","77.99","-1","-0.8","78","-56.5","86","35","D-","C","B+","68"
"69","MDT","Medtronic Plc","MEDICAL","172","Medical-Products","102.17","-1.2","-1.2","6730","-16.2","78","29","D-","B","E","50"
"153","ZBH","Zimmer Biomet Hldgs Inc","MEDICAL","172","Medical-Products","121.27","-0.4","-0.44","1869","2.3","58","26","D-","B","E","32"
"16","BIIB","Biogen Inc","MEDICAL","170","Medical-Biomed/Biotech","220.17","-2.1","-4.79","1915","7.6","45","24","D-","B","C+","29"
"38","EXAS","Exact Sciences Corp","MEDICAL","170","Medical-Biomed/Biotech","75.09","-1","-0.75","1822","-16.3","16","19","D-","D","D+","19"
"111","RH","R H","RETAIL","168","Retail-Home Furnishings","396.4","-1.5","-6.19","369","-38.1","95","16","D","A","E","59"
"102","PTC","P T C Inc","SOFTWARE","165","Computer Sftwr-Design","113.63","-2.4","-2.77","641","-27.3","87","34","D","A","D","64"
"128","SWK","Stanley Black & Decker","BUILDING","162","Bldg-Hand Tools","174.36","0","0.04","1710","18.2","68","41","D","B","B-","56"
"43","FNV","Franco Nevada Corp","MINING","160","Mining-Gold/Silver/Gems","134.88","0.8","1.02","633","11.7","93","52","D","A","D+","75"
"11","AVNW","Aviat Networks Inc","TELECOM","159","Telecom-Infrastructure","29.74","-3.8","-1.18","237","105.1","86","64","D","B","B","78"
"133","TMUS","T-Mobile U.S. Inc","TELECOM","157","Telecom Svcs-Wireless","120.78","10.2","11.2","15416","177.5","81","41","D","B","D+","50"
"3","ABG","Asbury Automotive Group","RETAIL","155","Retail/Whlsle-Automobile","164.03","-3.7","-6.22","118","-60.3","98","35","D","A","B+","83"
"63","LAD","Lithia Motors Inc Cl A","RETAIL","155","Retail/Whlsle-Automobile","285.01","-2.2","-6.3","171","-55","98","27","D","A","B","74"
"54","IIIV","I3 Verticals Inc Cl A","FINANCE","154","Finance-CrdtCard/PmtPr","22.4","-4.7","-1.11","152","-32.6","97","29","D+","A","B-","71"
"104","PYPL","Paypal Holdings Inc","FINANCE","154","Finance-CrdtCard/PmtPr","124.3","-6.2","-8.27","51330","207.9","82","10","D+","A","D-","45"
"126","SQ","Block Inc Cl A","FINANCE","154","Finance-CrdtCard/PmtPr","101.5","-11","-12.54","28978","131.1","94","6","D+","A","E","50"
"142","V","Visa Inc Cl A","FINANCE","154","Finance-CrdtCard/PmtPr","231.54","-1.6","-3.88","9746","-7.5","89","83","D+","A","E","84"
"143","VFC","V F Corp","APPAREL","148","Apparel-Clothing Mfg","63.66","-2.6","-1.68","3117","1.6","64","26","D+","B","E","54"
"18","BURL","Burlington Stores Inc","RETAIL","147","Retail-Apparel/Shoes/Acc","228.95","-0.9","-2.11","933","8.6","74","24","D+","D","D+","46"
"49","GPS","Gap Inc","RETAIL","147","Retail-Apparel/Shoes/Acc","17.11","-3.2","-0.57","12723","13.9","53","17","D+","D","D","27"
"115","ROST","Ross Stores Inc","RETAIL","147","Retail-Apparel/Shoes/Acc","94.38","-3","-2.95","2616","12.5","57","25","D+","B","D-","52"
"124","SNX","T D Synnex","RETAIL","146","Wholesale-Electronics","104.52","-2.5","-2.72","247","-29.5","84","52","D+","C","B-","76"
"33","DLB","Dolby Laboratories Inc","ELECTRNCS","141","Elec-Misc Products","85.29","-3.1","-2.71","432","-10.6","68","41","D+","A","A","72"
"42","FNKO","Funko Inc Cl A","CONSUMER","137","Leisure-Toys/Games/Hobby","17.32","-1.3","-0.23","511","21.1","81","69","C-","B","B-","78"
"1","AAL","American Airlines Group","TRANSPRT","135","Transportation-Airline","16.58","-2.2","-0.38","30270","-26","48","29","C-","-","D","34"
"29","DAL","Delta Air Lines Inc","TRANSPRT","135","Transportation-Airline","39.73","-1.9","-0.79","9864","-34.6","9","52","C-","E","D+","34"
"67","LUV","Southwest Airlines Co","TRANSPRT","135","Transportation-Airline","43.44","-1.9","-0.85","5497","-42.6","60","31","C-","C","D-","44"
"137","UAL","United Airlines Holdings","TRANSPRT","135","Transportation-Airline","43.08","-2.4","-1.04","7924","-43.1","50","37","C-","D","D+","43"
"31","DIS","Walt Disney Company","MEDIA","130","Media-Diversified","140.03","-1.8","-2.59","9016","-29.8","64","26","C-","C","E","40"
"32","DKNG","Draftkings Inc Cl A","LEISURE","129","Leisure-Gaming/Equip","20.55","-5.7","-1.24","22713","2.4","24","6","C-","D","B","24"
"94","PENN","Penn Natl Gaming Inc","LEISURE","129","Leisure-Gaming/Equip","45.33","-0.7","-0.34","12519","184.1","35","16","C-","C","E","25"
"86","NRC","National Research Corp","BUSINS SVC","124","Comml Svcs-Healthcare","39.45","-0.5","-0.2","92","62.8","83","26","C","A","C+","64"
"84","NLY","Annaly Capital Mgmt Inc","REAL EST","121","Finance-Mortgage REIT","7.62","-1.8","-0.14","20450","-7.8","32","35","C","C","C-","40"
"30","DCI","Donaldson Co","MACHINE","116","Pollution Control","54.77","-1.5","-0.81","257","-51.6","82","34","C","A","B-","70"
"148","X","United States Steel Corp","METALS","111","Steel-Producers","22.04","0.1","0.02","17333","-2","69","48","C+","A","D-","69"
"25","CMI","Cummins Inc","AUTO","110","Trucks & Parts-Hvy Duty","227.25","0.3","0.78","1838","68.8","77","48","C+","A","D","69"
"13","BA","Boeing Co","AEROSPACE","105","Aerospace/Defense","206.39","-0.5","-1.13","6791","-34.6","44","46","C+","-","D+","37"
"108","RADA","Rada Electronic Inds Ltd","AEROSPACE","105","Aerospace/Defense","9.36","-0.8","-0.08","216","-54.5","69","30","C+","B","B+","72"
"7","ARKK","A R K Innovation Etf","MISC","104","Finance-ETF / ETN","69.04","-5.6","-4.1","30772","62.4","0","13","C+","-","D-","0"
"35","EEM","Ishares Msci Emrg Mkts","MISC","104","Finance-ETF / ETN","48.54","-1.1","-0.52","37470","-19.1","0","41","C+","-","D-","0"
"58","IWM","Ishares Russell 2000 Etf","MISC","104","Finance-ETF / ETN","197.48","-1.9","-3.86","37084","-16.5","0","33","C+","-","E","0"
"61","KWEB","Kraneshrs CSI China Int","MISC","104","Finance-ETF / ETN","35.84","-2","-0.73","11062","-36","0","16","C+","-","C+","0"
"62","LABU","Direxion S&P Bio Bull 3X","MISC","104","Finance-ETF / ETN","17.06","-7.2","-1.33","13152","5.8","0","1","C+","-","D","0"
"149","XBI","Spdr S&P Biotech Etf","MISC","104","Finance-ETF / ETN","89.44","-2.6","-2.41","12526","-1.8","0","18","C+","-","E","0"
"79","MTZ","Mastec Inc","BUILDING","102","Bldg-Heavy Construction","84.58","-0.7","-0.61","379","-31.6","84","39","C+","B","D","64"
"17","BILI","Bilibili Inc Cl Z Ads","INTERNET","99","Internet-Content","32.6","-3.2","-1.09","2397","-61.9","5","4","C+","D","E","9"
